Circumstellar Disks http://www.circumstellardisks.org/,,,,,,,,,,,,,,,,,,,,,,,
Downloaded on Mar. 19 2020,,,,,,,,,,,,,,,,,,,,,,,
Database maintained by Karl Stapelfeldt. Last updated Mar. 13 2020,,,,,,,,,,,,,,,,,,,,,,,
Object,Category,Spec Type,R band (mag),Distance (pc),Disk Major Axis &quot;,Disk Diameter (AU),Inclination (degrees),Resolution elements across,At ref. wavelength (microns),Secondary Name,RA (J2000),DEC (J2000),Star-Forming Region,Class,Disk Minor Axis&quot;,Major axis PA,Spatial Resolution &quot;,Date Added,Date Updated,Fractional Infrared Luminosity,XRay Bright,Variable Star,Halpha equivalent width
gamma Dor,Debris,F1,4,20.5,12,246,69,,70,HD 27290,04 16 01.58,-51 29 11.9,,,5,56,,2013,7/5/2017 10:16,2.60E-05,0,0,
gamma Tri,Debris,A1V,3.9,34.4,8,275,83,,70,HD 14055,02 17 18.87,+33 50 49.9,,,,162,,2013,7/17/2017 12:12,6.40E-05,0,0,
HIP 79977,Debris,F2,8.7,123,4,492,84,,1.6,HD 146897,16 19 29.24,-21 24 13.3,,,,24,,2013,10/21/2019 0:10,,0,0,
zeta Lep,Debris,A0 V,3.4,21.6,0.28,6,30,0.2,18.3,HD 38678,05 46 57.34,-14 49 19.0,,,,50,1.86,1/1/2005,8/6/2017 12:59,0.00011,0,0,
HD 98800B,Trans,K5,8.5,50,0.25,12,67,0.3,880,,11 22 05.24,-24 46 39.1,,,,158,0.9,1/1/2005,1/12/2016,,0,0,
WL 20 S,YSO,,,140,0.59,82.6,,0.3,1330,,16 27 15.72,-24 38 46,,,0.3,55,2,1/1/2005,1/12/2016,,0,0,
DQ Tau,TT,M0 V,13.2,140,0.24,33.6,35,0.4,1300,,04 46 53.06,+17 00 00.1,,,0.17,-24,0.57,1/1/2005,6/21/2017 15:23,,0,0,
HD 71155,Debris,A0 V,3.9,37.5,0.1,3.8,30,0.4,10.4,30 Mon,08 25 39.63,-03 54 23.1,,,,140,0.27,1/1/2005,6/30/2017 10:02,2.90E-05,0,0,
Hen 3-600A,TT,M4,,50,0.4,20,36,0.4,880,,11 10 27.84,-37 31 51.7,,,,169,1.1,1/1/2005,1/12/2016,,0,0,
DR Tau,TT,K4,13.6,140,0.6,84,67,0.5,2000,,04 47 06.22,+16 53 23.5,Taurus,,0.49,128,1.1,1/1/2005,10/18/2018 7:43,,0,0,
WSB 60,TT,M4.5,16.6,140,1.2,168,42,0.5,1330,,16 28 16.65,-24 36 57.5,,,0.9,3,2.4,1/1/2005,1/12/2016,,0,0,
WW Cha,TT,K5,13.3,160,1.32,211.2,,0.5,3300,,11 10 00.11,-76 34 57.9,,,,,2.5,1/1/2005,2/11/2020 13:17,,0,0,
HD 181869,Debris,B8 V,3.9,55.7,0.16,8.9,80,0.6,10.4,,19 23 53.18,-40 36 57.4,,,,,0.27,1/1/2005,7/5/2017 10:39,,0,0,
Orion 139-409,YSO,,,414,0.4,165.6,40,0.6,870,,05 35 13.91,-05 24 09.4,,,0.2,60,0.7,1/1/2005,1/12/2016,,0,0,
PV Cephei,HAe,A5,11.1,500,0.68,340,62,0.6,1300,,20 45 53.96,+67 57 38.9,,,0.32,-63,1.07,1/1/2005,7/17/2017 14:49,,0,0,
SR 21,TT,G3,,140,1.4,196,60,0.6,880,,16 27 10.11,-24 19 14.7,,,,12,2.5,1/1/2005,1/12/2016,,0,0,
V892 Tau,HAe,B8,14.4,140,0.51,71,59,0.6,2700,,04 18 40.61,+28 19 15.5,Taurus,,0.27,64,0.8,1/1/2005,10/18/2018 7:36,,0,0,
alpha CrB,Debris,A0 V,2.2,23,4,92,80,0.7,11.2,HD 139006,15 34 41.27,+26 42 52.9,,,,170,5.9,1/1/2005,6/29/2017 10:40,1.70E-05,0,0,
beta UMa,Debris,A1V,2.3,24.3,3.8,92.34,84,0.7,100,,11 01 50.48,+56 22 56.7,,,,114,5.89,1/1/2005,6/29/2017 10:39,1.30E-05,0,0,
HD 28355,Debris,A7V,4.9,49.2,4.2,207,76,0.7,100,,04 28 50.16,+13 02 51.4,,,,95,5.893,7/13/2017,12/26/2019 18:48,2.50E-05,,,
HD 71722,Debris,A2IV,7.95,71.1,3.9,277,78,0.7,100,,14 56 54.47,-35 41 43.7,,,,161,5.893,7/13/2017,12/26/2019 18:36,0.0001,,,
HD 113766,Debris,F3/5,7.96,123,1.13,139,70,0.8,1240,HIP 63975,13 06 35.84,-46 02 02.0,Sco-Cen,,,&minus;30,1.39,7/29/2017,3/12/2020 21:29,0.0021,,,
HD 138965,Debris,A1V,6.51,77.3,4.8,371,37,0.8,100,,15 40 11.56,-70 13 40.4,,,,177,5.893,7/13/2017,12/26/2019 18:41,0.00033,,,
HD 141378,Debris,A5IV,5.61,49.2,4.8,236,15,0.8,100,,15 48 56.80,-03 49 06.6,,,,113,5.893,7/17/2017,12/26/2019 18:43,5.6e&minus;05,,,
HD 74873,Debris,A1Vp,7.2,61,3.4,207,27,0.8,70,,08 46 56.02,+12 06 35.8,,,,,4.125,7/14/2017,12/26/2019 18:33,3.37E-05,,,
