Object,Category,Spec_Type,R_band_mag,Distance_pc,Disk Major Axis,Disk_Diameter_AU,Inclination_degrees,Resolution_elements_across,At_ref. wavelength_microns,RA_J2000,DEC_J2000
2MASSI J1628137-243139,TT,,17.7,140,4.3,602,86,10.8,2.1,04 16 01.58,-51 29 11.9
49 Cet,Debris,A1,5.6,59,9.8,578,79,24.5,850,02 17 18.87,+33 50 49.9
61 Vir,Debris,G7V,4.2,8.5,22,187,77,3.7,70,16 19 29.24,-21 24 13.3
99 Her,Debris,F7+K4,4.7,15.6,15.4,240,50,2.8,70,05 46 57.34,-14 49 19.0
[MR81] H alpha 17 NE,TT,M2e,16.9,150,0.38,57,20,2.9,2.2,11 22 05.24,-24 46 39.1
AA Tau,TT,M0,11.8,140,2.3,322,75,44.6,0.6,16 27 15.72,-24 38 46
AB Aur,HAe,A0e,7.1,144,18,2592,22,360,0.57,04 46 53.06,+17 00 00.1
alpha CrB,Debris,A0 V,2.2,23,4,92,80,0.7,11.2,08 25 39.63,-03 54 23.1
AS 205 A,TT,K0,12.8,128,0.414,53,20,13.4,1250,11 10 27.84,-37 31 51.7
AS 205 B,TT,K7+M0,14,128,0.19,24,66,6.1,1250,04 47 06.22,+16 53 23.5
AS 209,TT,K5,10.4,121,2.3,278,35,62.2,1250,16 28 16.65,-24 36 57.5
ASR 41,TT,,,316,20,6320,80,97,2.2,11 10 00.11,-76 34 57.9
AU Mic,Debris,M1,8.9,9.94,29.25,291,90,585,0.6,19 23 53.18,-40 36 57.4
beta Leo,Debris,A3V,2,11.1,7.1,79,32,1.2,100,05 35 13.91,-05 24 09.4
beta Pictoris,Debris,A5,3.9,19.3,26,502,90,520,0.6,20 45 53.96,+67 57 38.9
beta Tri,Debris,A5 III,2.9,38.9,5.6,218,41,1.4,70,16 27 10.11,-24 19 14.7
beta UMa,Debris,A1V,2.3,24.3,3.8,92.34,84,0.7,100,04 18 40.61,+28 19 15.5
BP Psc,TT,,12.2,100,1.2,120,75,40,1.6,15 34 41.27,+26 42 52.9
BP Tau,TT,K7,11.1,140,1.5,210,30,1.5,1300.39,11 01 50.48,+56 22 56.7
CAHA J23056+6016,YSO?,,,3500,3,10500,10,74.5,1.6,04 28 50.16,+13 02 51.4
CB 26,YSO,,,140,5.5,770,88,42.4,2.2,14 56 54.47,-35 41 43.7
